Nickname;Followers;Following;Follower/Following ratio
FCBarcelona;17330155;58;298795.775862069
FCBarcelona_es;9606503;58;165629.3620689655
werevertumorro;7242965;1953;3708.635432667691
el_pais;5398506;696;7756.474137931034
FCBarcelona_cat;5267864;57;92418.66666666667
diarioas;2087323;925;2256.565405405405
Cosmopolitan_es;1699181;1258;1350.700317965024
perezreverte;1623715;778;2087.037275064267
MissJessWright_;1522793;2177;699.4915020670647
ScottGShore;1499335;5110;293.4119373776908
miguelhotero;1438532;840736;1.711038899250181
telecincoes;1305759;1309;997.524064171123
Wereverwero;1279647;573;2233.240837696335
sport;1217450;221671;5.492148273793144
antena3com;1133451;541;2095.103512014788
EFEnoticias;1012011;48;21083.5625
rtve;966669;316;3059.07911392405
RAEinforma;921347;167;5517.047904191617
borsato;865195;358;2416.745810055866
loly_anto;832435;197;4225.558375634518
Srcheeto;822244;590;1393.633898305085
museodelprado;818510;1004;815.2490039840637
Lionel_Messi;782759;8;97844.875
RAFAMORATETE;750558;3569;210.2992434855702
publico_es;708880;1263;561.2668250197942
SLBenfica;651148;87;7484.459770114942
noticias_cuatro;646032;625;1033.6512
SevillaFC;637876;216;2953.12962962963
LaVanguardia;624327;468;1334.032051282051
AthleticClub;620525;41;15134.75609756098
greenpeace_esp;618601;301059;2.054750065601759
YeniAlisan;549337;265;2072.969811320755
informativost5;543386;1234;440.3452188006483
megustaleer;526477;2738;192.2852447041636
PPopular;526164;3185;165.2006279434851
europa_fm;524175;1961;267.2998470168282
PipiEstrada1;520924;3979;130.9183211862277
MasterChef_es;503787;426;1182.598591549296
trafficMIRANDA;502007;128997;3.891617634518632
AS_Futbol;488758;182;2685.483516483516
marieclaire_es;485717;508;956.1358267716536
_FALOON_;485016;133;3646.736842105263
SergioMarone;474925;481;987.3700623700623
desdelamoncloa;474039;41;11561.92682926829
cuore;469531;1559;301.1744708146248
Iberia;462697;17072;27.10268275538894
la_informacion;447833;496;902.8891129032259
FCBbasket;447289;103;4342.611650485437
Goyojimenez;442601;722;613.0207756232687
harpersbazaarES;423798;971;436.4552008238929
RealSociedad;422789;94;4497.755319148936
ElHuffPost;408481;1059;385.7233238904627
SICNoticias;406971;54;7536.5
DaniRep;405129;277;1462.559566787004
rtppt;384948;10368;37.12847222222222
elperiodico;381376;19033;20.03761887248463
UnAlumnoDice;379548;64;5930.4375
Josemicod5;368470;245;1503.959183673469
JornalNoticias;365038;13054;27.96368929063889
Planetadelibros;362088;2125;170.3943529411765
losmanolostv;352460;1638;215.1770451770452
Vertele;324934;1112;292.2068345323741
MonicaCarrillo;320145;505;633.950495049505
MkDirecto;315813;105;3007.742857142857
CincoDiascom;307409;360;853.9138888888889
AleixEspargaro;295632;902;327.7516629711752
LosArys;289776;241;1202.390041493776
cmjornal;286263;1225;233.6840816326531
HDluh;284392;109;2609.100917431193
elpais_espana;276071;596;463.2063758389262
fcbarcelona_id;272671;49;5564.714285714285
vanesa_romero;272410;352;773.8920454545455
Dios_Padre;270899;779;347.7522464698331
rne;270595;136;1989.669117647059
lavozdegalicia;269487;175;1539.925714285714
ignasicomellas;267493;211275;1.266089220210626
sexlecciones;266733;92098;2.89618667072032
abelazcona;265205;1072;247.392723880597
DANIELdoiser;259803;223133;1.164341446581187
expresso;258692;600;431.1533333333333
324cat;257448;165;1560.290909090909
MADRID;241101;97;2485.577319587629
Real_Madrid__CF;239782;7253;33.05969943471667
Vannieuwkerke;238581;1707;139.7662565905097
barcelona_cat;236741;10024;23.61741819632881
hacerfotos;235301;231285;1.017363858443046
BTshell;227287;753;301.8419654714476
rccelta_oficial;226895;46;4932.5
_salomo;220885;220184;1.003183700904698
Fundeu;219964;2482;88.62369057211926
elprogramadear;219747;352;624.28125
CooLifeGame;214784;628;342.0127388535032
josefajram;213560;10443;20.45006224265058
RafaMartinTV;212484;4361;48.72368722770007
XtebanGuillen;211019;198695;1.062024711240847
JotDownSpain;210132;312;673.5
ghumanitaria;208720;1310;159.3282442748092
oceloteWorld;206996;216;958.3148148148148
metro_madrid;206775;368;561.8885869565217
TSFRadio;202405;39;5189.871794871795
