Keyword;Repeats
Spain;9721
Madrid;7144
Día;5114
hoy;4780
Barcelona;4633
Feria;4329
km/h;3680
posted;3485
photo;3437
sevilla;3327
abril;3279
mm;3276
días;2682
real;2652
vida;2619
00;2540
ahora;2509
hpa;2509
Gracias;2402
mejor;2376
hay;2367
nivel;2303
buenos;2173
#Madrid;2161
pk;2121
#DGT;2112
#Barcelona;2021
today;1808
siempre;1785
España;1745
gran;1721
/;1714
quiero;1683
Viento;1673
San;1652
amarillo;1621
Temp;1591
Portugal;1588
feliz;1573
nada;1560
Rain;1555
casa;1535
cinc;1511
Semana;1487
Mis;1465
lluvia;1464
tendencia;1458
Valencia;1436
mañana;1427
Wind;1423
#RETENCIÓN;1401
°C;1380
Humidity;1372
hum;1367
#Endomondo;1336
Nunca;1335
Temperature;1334
Barometer;1334
viernes;1314
plaza;1310
playa;1295
minuts;1291
hasta;1282
quarts;1273
&amp;1242
tan;1232
años;1217
málaga;1217
noche;1210
vez;1197
mundo;1172
nuevo;1161
eso;1138
#endorphins;1130
menos;1113
dong;1109
VIDEO;1107
ºC;1106
mucho;1081
#spain;1078
Parque;1066
tarde;1063
!;1052
buenas;1047
buen;1045
nit;1042
2016;1029
#Sevilla;987
centro;983
estás;975
esto;969
❤;965
slowly;958
BAR;957
Lisboa;947
